product_id,product_name,product_price,category_id
797,Hirzl Women's Soffft Flex Golf Glove,17.98999977,18
981,The North Face Women's Recon Backpack,99.0,10
1355,Lawn mower,532.5800171,29
135,Nike Dri-FIT Crew Sock 6 Pack,22.0,15
134,Nike Women's Legend V-Neck T-Shirt,25.0,19
845,Garmin Approach S4 Golf GPS Watch,299.9899902,17
982,insta-bed Neverflat Air Mattress,149.9900055,10
625,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055,28
1359,Adult dog supplies,84.40000153,30
1356,First aid kit,293.0400085,31
607,Garmin Approach S3 Golf GPS Watch,249.9900055,17
1358,Rock music,260.6499939,32
1362,Fighting video games,39.75,33
295,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,1
127,Stiga Master Series ST3100 Competition Indoor,329.9899902,34
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,10
35,adidas Brazuca 2014 Official Match Ball,159.9900055,21
858,GolfBuddy VT3 GPS Watch,199.9900055,1
860,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,1
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,10
19,Nike Men's Fingertrap Max Training Shoe,124.9899979,7
226,Bowflex SelectTech 1090 Dumbbells,599.9899902,15
208,SOLE E35 Elliptical,1999.98999,1
793,Hirzl Women's Hybrid Golf Glove,14.98999977,18
792,Hirzl Men's Hybrid Golf Glove,14.98999977,18
786,TaylorMade 2014 Purelite Stand Bag,179.9900055,8
778,Bag Boy Beverage Holder,24.98999977,8
777,Bag Boy M330 Push Cart,79.98999786,8
775,Clicgear 8.0 Shoe Brush,9.989999771,8
773,Titleist Small Wheeled Travel Cover,249.9900055,8
771,Clicgear Rovic Cooler Bag,39.99000168,8
768,Titleist Club Glove Travel Cover,299.9899902,8
743,Ogio Race Golf Shoes,169.9900055,35
730,LIJA Women's Argyle Golf Polo,80.0,4
728,LIJA Women's Eyelet Sleeveless Golf Polo,65.0,4
725,LIJA Women's Button Golf Dress,108.0,4
724,LIJA Women's Mid-Length Panel Golf Shorts,100.0,4
715,TaylorMade Women's RBZ SL Rescue,129.9900055,36
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979,36
703,Top Flite Women's 2014 XL Hybrid,19.98999977,36
691,MDGolf Pittsburgh Penguins Putter,79.98999786,37
677,TaylorMade White Smoke IN-12 Putter,99.98999786,37
671,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055,37
666,Merrell Men's All Out Flash Trail Running Sho,109.9899979,10
652,Merrell Women's Grassbow Sport Waterproof Hik,129.9900055,10
647,Merrell Women's Siren Mid Waterproof Hiking B,134.9900055,10
646,Merrell Women's Grassbow Sport Hiking Shoe,99.98999786,10
1361,Toys,11.53999996,38
1073,Pelican Sunstream 100 Kayak,199.9900055,39
1059,Pelican Maverick 100X Kayak,349.9899902,39
1014,O'Brien Men's Neoprene Life Vest,49.97999954,39
