order_id,shipping_date,shipping_days_actual,shipping_days_scheduled,shipping_mode,delivery_status,late_delivery_risk
58613,2017-05-09 14:23:00,4,2,Second Class,Late delivery,1
7824,2015-04-30 04:44:00,5,2,Second Class,Late delivery,1
7814,2015-04-30 01:14:00,5,2,Second Class,Late delivery,1
60807,2017-06-09 15:03:00,3,2,Second Class,Late delivery,1
53413,2017-02-22 16:36:00,4,2,Second Class,Late delivery,1
7888,2015-04-30 03:10:00,4,2,Second Class,Late delivery,1
6783,2015-04-14 00:02:00,4,2,Second Class,Late delivery,1
56973,2017-04-15 15:49:00,4,2,Second Class,Late delivery,1
55155,2017-03-22 02:54:00,6,2,Second Class,Late delivery,1
5991,2015-03-31 10:33:00,2,2,Second Class,Shipping on time,0
2263,2015-02-07 00:28:00,4,2,Second Class,Late delivery,1
53403,2017-02-22 13:05:00,4,2,Second Class,Late delivery,1
51298,2017-01-22 19:37:00,4,2,Second Class,Late delivery,1
4919,2015-03-18 18:59:00,5,4,Standard Class,Late delivery,1
52640,2017-02-13 09:47:00,6,4,Standard Class,Late delivery,1
6358,2015-04-07 19:08:00,4,4,Standard Class,Shipping on time,0
57106,2017-04-15 14:25:00,2,4,Standard Class,Advance shipping,0
6245,2015-04-08 03:33:00,6,4,Standard Class,Late delivery,1
52166,2017-02-02 11:43:00,2,4,Standard Class,Advance shipping,0
56172,2017-04-02 23:12:00,3,4,Standard Class,Advance shipping,0
55829,2017-03-30 23:02:00,5,4,Standard Class,Late delivery,1
52478,2017-02-09 01:01:00,4,4,Standard Class,Shipping on time,0
57242,2017-04-18 14:04:00,3,4,Standard Class,Advance shipping,0
3137,2015-02-18 18:40:00,3,4,Standard Class,Advance shipping,0
60127,2017-05-30 16:48:00,3,4,Standard Class,Advance shipping,0
3828,2015-03-01 20:46:00,4,4,Standard Class,Shipping on time,0
60386,2017-06-02 11:33:00,2,4,Standard Class,Advance shipping,0
973,2015-01-19 04:32:00,4,4,Standard Class,Shipping on time,0
57999,2017-05-01 15:16:00,5,4,Standard Class,Late delivery,1
54585,2017-03-13 19:12:00,6,4,Standard Class,Late delivery,1
57598,2017-04-24 18:47:00,4,4,Standard Class,Shipping on time,0
54274,2017-03-08 06:14:00,5,4,Standard Class,Late delivery,1
60673,2017-06-08 16:06:00,4,4,Standard Class,Shipping on time,0
59387,2017-05-19 21:33:00,3,4,Standard Class,Advance shipping,0
10007,2015-05-30 01:32:00,3,4,Standard Class,Advance shipping,0
55984,2017-04-02 05:20:00,5,4,Standard Class,Late delivery,1
58375,2017-05-08 03:00:00,6,4,Standard Class,Late delivery,1
56448,2017-04-07 23:53:00,4,4,Standard Class,Shipping on time,0
8221,2015-05-02 23:49:00,2,4,Standard Class,Advance shipping,0
58034,2017-05-02 03:32:00,5,4,Standard Class,Late delivery,1
2203,2015-02-06 03:27:00,4,4,Standard Class,Shipping on time,0
53069,2017-02-18 16:05:00,5,4,Standard Class,Late delivery,1
60146,2017-05-29 23:28:00,2,4,Standard Class,Advance shipping,0
55409,2017-03-24 19:53:00,5,4,Standard Class,Late delivery,1
8678,2015-05-11 15:56:00,4,4,Standard Class,Shipping on time,0
7980,2015-05-03 11:23:00,6,4,Standard Class,Late delivery,1
57185,2017-04-20 18:06:00,6,4,Standard Class,Late delivery,1
8636,2015-05-09 01:13:00,2,4,Standard Class,Advance shipping,0
61192,2017-06-15 05:55:00,3,4,Standard Class,Advance shipping,0
55876,2017-03-28 15:30:00,2,4,Standard Class,Advance shipping,0
53331,2017-02-19 11:52:00,2,4,Standard Class,Advance shipping,0
51725,2017-01-31 01:13:00,6,4,Standard Class,Late delivery,1
52562,2017-02-09 06:27:00,3,4,Standard Class,Advance shipping,0
59754,2017-05-27 06:08:00,5,4,Standard Class,Late delivery,1
53574,2017-02-26 01:00:00,5,4,Standard Class,Late delivery,1
399,2015-01-11 19:26:00,5,4,Standard Class,Late delivery,1
51050,2017-01-21 04:44:00,6,2,Second Class,Late delivery,1
45680,2016-11-03 19:23:00,6,2,Second Class,Late delivery,1
42992,2016-09-22 13:39:00,3,2,Second Class,Late delivery,1
41304,2016-08-30 22:16:00,5,2,Second Class,Late delivery,1
44253,2016-10-11 23:26:00,4,2,Second Class,Late delivery,1
46098,2016-11-07 21:49:00,4,2,Second Class,Late delivery,1
71077,2017-11-06 13:05:00,3,2,Second Class,Late delivery,1
69703,2017-10-18 11:42:00,4,2,Second Class,Late delivery,1
71112,2017-11-07 01:21:00,3,2,Second Class,Late delivery,1
69810,2017-10-22 01:12:00,6,2,Second Class,Late delivery,1
71092,2017-11-06 18:20:00,3,2,Second Class,Late delivery,1
69610,2017-10-19 03:08:00,6,2,Second Class,Late delivery,1
71000,2017-11-08 10:06:00,6,2,Second Class,Late delivery,1
70734,2017-11-03 12:55:00,5,2,Second Class,Late delivery,1
69626,2017-10-15 08:44:00,2,2,Second Class,Shipping on time,0
69482,2017-10-14 06:17:00,3,2,Second Class,Late delivery,1
70769,2017-11-04 01:10:00,5,2,Second Class,Late delivery,1
69643,2017-10-17 14:41:00,4,2,Second Class,Late delivery,1
71051,2017-11-05 03:58:00,2,2,Second Class,Shipping on time,0
69408,2017-10-14 04:21:00,4,2,Second Class,Late delivery,1
71123,2017-11-08 05:12:00,4,2,Second Class,Late delivery,1
70534,2017-10-31 14:51:00,5,2,Second Class,Late delivery,1
69641,2017-10-15 13:59:00,2,2,Second Class,Shipping on time,0
70960,2017-11-07 20:05:00,6,2,Second Class,Late delivery,1
69908,2017-10-21 11:32:00,4,2,Second Class,Late delivery,1
70957,2017-11-04 19:02:00,3,2,Second Class,Late delivery,1
69637,2017-10-16 12:35:00,3,2,Second Class,Late delivery,1
70955,2017-11-07 18:20:00,6,2,Second Class,Late delivery,1
70919,2017-11-06 05:44:00,5,2,Second Class,Late delivery,1
71009,2017-11-07 13:15:00,5,2,Second Class,Late delivery,1
69653,2017-10-17 18:11:00,4,2,Second Class,Late delivery,1
69527,2017-10-14 22:03:00,3,2,Second Class,Late delivery,1
71080,2017-11-09 14:08:00,6,2,Second Class,Late delivery,1
70544,2017-10-31 18:21:00,5,2,Second Class,Late delivery,1
69471,2017-10-13 02:26:00,2,2,Second Class,Shipping on time,0
68879,2017-10-07 11:01:00,5,2,Second Class,Late delivery,1
67214,2017-09-13 03:42:00,5,2,Second Class,Late delivery,1
17810,2015-09-23 23:17:00,6,2,Second Class,Late delivery,1
18793,2015-10-06 07:40:00,4,2,Second Class,Late delivery,1
65109,2017-08-13 10:13:00,5,2,Second Class,Late delivery,1
15673,2015-08-21 18:35:00,4,2,Second Class,Late delivery,1
18183,2015-09-27 09:57:00,4,2,Second Class,Late delivery,1
20234,2015-10-28 08:31:00,5,2,Second Class,Late delivery,1
13139,2015-07-16 18:49:00,5,2,Second Class,Late delivery,1
33824,2016-05-13 17:42:00,5,4,Standard Class,Shipping canceled,0
31364,2016-04-07 19:51:00,5,4,Standard Class,Shipping canceled,0
40495,2016-08-20 02:51:00,6,4,Standard Class,Shipping canceled,0
34506,2016-05-20 16:38:00,2,4,Standard Class,Shipping canceled,0
33607,2016-05-08 13:40:00,3,4,Standard Class,Shipping canceled,0
32617,2016-04-24 02:50:00,3,4,Standard Class,Shipping canceled,0
37496,2016-07-03 08:10:00,2,4,Standard Class,Shipping canceled,0
49075,2016-12-23 08:48:00,6,4,Standard Class,Shipping canceled,0
41623,2016-09-03 14:02:00,4,4,Standard Class,Shipping canceled,0
39271,2016-07-29 06:01:00,2,4,Standard Class,Shipping canceled,0
38598,2016-07-21 10:14:00,4,4,Standard Class,Shipping canceled,0
37845,2016-07-12 10:26:00,6,4,Standard Class,Shipping canceled,0
42331,2016-09-11 22:05:00,2,4,Standard Class,Shipping canceled,0
41345,2016-09-01 12:38:00,6,4,Standard Class,Shipping canceled,0
51168,2017-01-20 22:04:00,4,4,Standard Class,Shipping canceled,0
43599,2016-10-03 10:19:00,5,4,Standard Class,Shipping canceled,0
41901,2016-09-05 15:26:00,2,4,Standard Class,Shipping canceled,0
42751,2016-09-18 01:13:00,2,4,Standard Class,Advance shipping,0
45088,2016-10-24 03:59:00,4,4,Standard Class,Shipping on time,0
50489,2017-01-12 00:11:00,5,4,Standard Class,Late delivery,1
44409,2016-10-15 06:06:00,5,4,Standard Class,Late delivery,1
42101,2016-09-08 13:30:00,2,4,Standard Class,Advance shipping,0
50424,2017-01-11 01:25:00,5,4,Standard Class,Late delivery,1
49825,2017-01-03 07:33:00,6,4,Standard Class,Late delivery,1
41294,2016-08-30 18:46:00,5,4,Standard Class,Late delivery,1
42023,2016-09-09 10:10:00,4,4,Standard Class,Shipping on time,0
47774,2016-12-03 09:00:00,5,4,Standard Class,Late delivery,1
41827,2016-09-05 13:30:00,3,4,Standard Class,Advance shipping,0
47193,2016-11-23 21:27:00,4,4,Standard Class,Shipping on time,0
42626,2016-09-16 05:26:00,2,4,Standard Class,Advance shipping,0
46199,2016-11-10 09:13:00,5,4,Standard Class,Late delivery,1
48468,2016-12-12 12:08:00,4,4,Standard Class,Shipping on time,0
51009,2017-01-19 14:22:00,5,4,Standard Class,Late delivery,1
46229,2016-11-10 19:43:00,5,4,Standard Class,Late delivery,1
42882,2016-09-20 23:07:00,3,4,Standard Class,Advance shipping,0
46827,2016-11-17 13:14:00,3,4,Standard Class,Advance shipping,0
48684,2016-12-16 15:49:00,5,4,Standard Class,Late delivery,1
46416,2016-11-10 13:14:00,2,4,Standard Class,Advance shipping,0
47343,2016-11-26 02:00:00,4,4,Standard Class,Shipping on time,0
41686,2016-09-02 12:06:00,2,4,Standard Class,Advance shipping,0
41896,2016-09-05 13:41:00,2,4,Standard Class,Advance shipping,0
28168,2016-02-20 04:09:00,4,4,Standard Class,Shipping on time,0
24992,2016-01-03 19:27:00,3,4,Standard Class,Advance shipping,0
30851,2016-03-28 08:07:00,2,4,Standard Class,Advance shipping,0
25074,2016-01-07 00:11:00,5,4,Standard Class,Late delivery,1
76870,2018-02-02 02:38:00,6,4,Standard Class,Late delivery,1
25163,2016-01-07 07:22:00,4,4,Standard Class,Shipping on time,0
28036,2016-02-16 05:54:00,2,4,Standard Class,Advance shipping,0
22679,2015-12-03 01:06:00,5,4,Standard Class,Late delivery,1
23610,2015-12-17 15:17:00,6,4,Standard Class,Late delivery,1
42828,2016-09-21 04:12:00,4,4,Standard Class,Shipping on time,0
48713,2016-12-16 01:59:00,4,4,Standard Class,Shipping on time,0
45668,2016-11-01 15:11:00,4,4,Standard Class,Shipping on time,0
74796,2017-12-29 20:01:00,2,4,Standard Class,Advance shipping,0
27918,2016-02-16 12:34:00,4,4,Standard Class,Shipping on time,0
30097,2016-03-18 07:58:00,3,4,Standard Class,Advance shipping,0
30966,2016-03-30 00:25:00,2,4,Standard Class,Advance shipping,0
30063,2016-03-18 20:03:00,4,4,Standard Class,Shipping on time,0
22019,2015-11-23 09:53:00,5,4,Standard Class,Late delivery,1
24230,2015-12-26 16:29:00,6,4,Standard Class,Late delivery,1
42353,2016-09-14 05:47:00,4,4,Standard Class,Shipping on time,0
42134,2016-09-12 01:04:00,5,4,Standard Class,Late delivery,1
21522,2015-11-14 03:45:00,3,4,Standard Class,Advance shipping,0
23767,2015-12-16 22:17:00,3,4,Standard Class,Advance shipping,0
25433,2016-01-11 05:57:00,4,4,Standard Class,Shipping on time,0
73893,2017-12-18 15:39:00,4,4,Standard Class,Shipping on time,0
30085,2016-03-21 03:45:00,6,4,Standard Class,Late delivery,1
30172,2016-03-19 10:14:00,3,4,Standard Class,Advance shipping,0
27478,2016-02-10 02:25:00,4,4,Standard Class,Shipping on time,0
76976,2018-01-30 15:46:00,2,4,Standard Class,Advance shipping,0
24063,2015-12-22 05:59:00,4,4,Standard Class,Shipping on time,0
51209,2017-01-22 12:26:00,5,4,Standard Class,Late delivery,1
73839,2017-12-18 20:44:00,5,4,Standard Class,Late delivery,1
74723,2017-12-30 18:26:00,4,4,Standard Class,Shipping on time,0
26821,2016-01-29 12:14:00,2,4,Standard Class,Advance shipping,0
77102,2018-02-02 11:54:00,3,4,Standard Class,Advance shipping,0
41608,2016-09-03 08:47:00,4,4,Standard Class,Shipping on time,0
47009,2016-11-22 04:59:00,5,4,Standard Class,Late delivery,1
49916,2016-12-31 15:26:00,2,4,Standard Class,Advance shipping,0
29746,2016-03-12 04:59:00,2,4,Standard Class,Advance shipping,0
72533,2017-11-28 19:11:00,4,4,Standard Class,Shipping on time,0
48608,2016-12-14 13:11:00,4,4,Standard Class,Shipping on time,0
45506,2016-10-28 06:25:00,2,4,Standard Class,Advance shipping,0
45027,2016-10-22 06:36:00,3,4,Standard Class,Advance shipping,0
46308,2016-11-10 23:24:00,4,4,Standard Class,Shipping on time,0
43685,2016-10-05 16:27:00,6,4,Standard Class,Late delivery,1
41893,2016-09-07 12:38:00,4,4,Standard Class,Shipping on time,0
46339,2016-11-12 10:15:00,5,4,Standard Class,Late delivery,1
46667,2016-11-15 05:10:00,3,4,Standard Class,Advance shipping,0
47647,2016-11-29 12:30:00,3,4,Standard Class,Advance shipping,0
48565,2016-12-15 22:07:00,6,4,Standard Class,Late delivery,1
43889,2016-10-07 15:55:00,5,4,Standard Class,Late delivery,1
45138,2016-10-24 21:30:00,4,4,Standard Class,Shipping on time,0
44160,2016-10-12 14:51:00,6,4,Standard Class,Late delivery,1
49214,2016-12-24 09:30:00,5,4,Standard Class,Late delivery,1
41825,2016-09-08 12:48:00,6,4,Standard Class,Late delivery,1
44504,2016-10-16 15:22:00,5,4,Standard Class,Late delivery,1
44496,2016-10-13 12:34:00,2,4,Standard Class,Advance shipping,0
45559,2016-11-01 00:59:00,5,4,Standard Class,Late delivery,1
44074,2016-10-10 08:44:00,5,4,Standard Class,Late delivery,1
49857,2016-12-31 18:46:00,3,4,Standard Class,Advance shipping,0
41786,2016-09-03 23:08:00,2,4,Standard Class,Advance shipping,0
48042,2016-12-05 06:54:00,3,4,Standard Class,Advance shipping,0
44301,2016-10-10 16:15:00,2,4,Standard Class,Advance shipping,0
41591,2016-09-01 02:49:00,2,4,Standard Class,Advance shipping,0
44981,2016-10-20 14:29:00,2,4,Standard Class,Advance shipping,0
41545,2016-09-04 10:42:00,6,4,Standard Class,Late delivery,1
49910,2017-01-04 13:20:00,6,4,Standard Class,Late delivery,1
19590,2015-10-19 22:53:00,6,4,Standard Class,Late delivery,1
43650,2016-10-05 04:11:00,6,4,Standard Class,Late delivery,1
15202,2015-08-13 21:35:00,3,4,Standard Class,Advance shipping,0
15462,2015-08-17 16:40:00,3,4,Standard Class,Advance shipping,0
15155,2015-08-16 05:07:00,6,4,Standard Class,Late delivery,1
64451,2017-07-31 19:42:00,2,4,Standard Class,Advance shipping,0
67028,2017-09-09 10:32:00,4,4,Standard Class,Shipping on time,0
62336,2017-06-30 22:43:00,2,4,Standard Class,Advance shipping,0
11334,2015-06-20 10:27:00,5,4,Standard Class,Late delivery,1
62885,2017-07-12 23:03:00,6,4,Standard Class,Late delivery,1
66998,2017-09-09 00:02:00,4,4,Standard Class,Shipping on time,0
47002,2016-11-20 02:32:00,3,4,Standard Class,Advance shipping,0
63445,2017-07-21 03:15:00,6,4,Standard Class,Late delivery,1
67566,2017-09-15 07:01:00,2,4,Standard Class,Advance shipping,0
18884,2015-10-08 15:33:00,5,4,Standard Class,Late delivery,1
18845,2015-10-09 01:53:00,6,4,Standard Class,Late delivery,1
66854,2017-09-07 21:35:00,5,4,Standard Class,Late delivery,1
46955,2016-11-22 10:04:00,6,4,Standard Class,Late delivery,1
55002,2017-03-16 21:18:00,3,4,Standard Class,Advance shipping,0
60445,2017-06-07 08:13:00,6,4,Standard Class,Late delivery,1
53586,2017-02-23 05:12:00,2,4,Standard Class,Advance shipping,0
56618,2017-04-10 11:27:00,4,4,Standard Class,Shipping on time,0
51865,2017-02-02 02:16:00,6,4,Standard Class,Late delivery,1
2937,2015-02-15 20:36:00,3,4,Standard Class,Advance shipping,0
54446,2017-03-07 18:30:00,2,4,Standard Class,Advance shipping,0
58623,2017-05-09 17:53:00,4,4,Standard Class,Shipping on time,0
7411,2015-04-21 04:03:00,2,4,Standard Class,Advance shipping,0
5348,2015-03-24 01:17:00,4,4,Standard Class,Shipping on time,0
59742,2017-05-25 01:56:00,3,4,Standard Class,Advance shipping,0
59498,2017-05-22 12:26:00,4,4,Standard Class,Shipping on time,0
3459,2015-02-25 11:29:00,5,4,Standard Class,Late delivery,1
8470,2015-05-10 15:04:00,6,4,Standard Class,Late delivery,1
53455,2017-02-25 07:19:00,6,4,Standard Class,Late delivery,1
2014,2015-02-04 09:14:00,5,4,Standard Class,Late delivery,1
55899,2017-03-31 23:33:00,5,4,Standard Class,Late delivery,1
52582,2017-02-09 13:27:00,3,4,Standard Class,Advance shipping,0
56222,2017-04-03 16:43:00,3,4,Standard Class,Advance shipping,0
57829,2017-04-29 03:43:00,5,4,Standard Class,Late delivery,1
56217,2017-04-03 14:58:00,3,4,Standard Class,Advance shipping,0
5893,2015-04-01 00:13:00,4,4,Standard Class,Shipping on time,0
5528,2015-03-26 16:21:00,4,4,Standard Class,Shipping on time,0
367,2015-01-09 08:13:00,3,4,Standard Class,Advance shipping,0
52353,2017-02-07 05:14:00,4,4,Standard Class,Shipping on time,0
1784,2015-02-01 00:39:00,5,4,Standard Class,Late delivery,1
60317,2017-06-02 11:22:00,3,4,Standard Class,Advance shipping,0
6776,2015-04-11 21:35:00,2,4,Standard Class,Advance shipping,0
4487,2015-03-10 11:38:00,3,4,Standard Class,Advance shipping,0
9681,2015-05-24 07:20:00,2,4,Standard Class,Advance shipping,0
60868,2017-06-11 12:25:00,4,4,Standard Class,Shipping on time,0
53231,2017-02-18 00:50:00,2,4,Standard Class,Advance shipping,0
52601,2017-02-08 20:07:00,2,4,Standard Class,Advance shipping,0
4660,2015-03-16 00:15:00,6,4,Standard Class,Late delivery,1
3539,2015-02-26 15:31:00,5,4,Standard Class,Late delivery,1
54488,2017-03-10 09:13:00,4,4,Standard Class,Shipping on time,0
52549,2017-02-11 01:54:00,5,4,Standard Class,Late delivery,1
60361,2017-06-02 02:47:00,2,4,Standard Class,Advance shipping,0
5712,2015-03-28 08:49:00,3,4,Standard Class,Advance shipping,0
9309,2015-05-21 21:00:00,5,4,Standard Class,Late delivery,1
8095,2015-05-05 03:41:00,6,4,Standard Class,Late delivery,1
75892,2018-01-15 19:59:00,3,4,Standard Class,Advance shipping,0
75891,2018-01-14 19:38:00,2,4,Standard Class,Advance shipping,0
75890,2018-01-18 19:17:00,6,2,Second Class,Late delivery,1
75889,2018-01-17 18:56:00,5,4,Standard Class,Late delivery,1
75888,2018-01-16 18:35:00,4,4,Standard Class,Shipping on time,0
75887,2018-01-15 18:14:00,3,4,Standard Class,Advance shipping,0
75886,2018-01-14 17:53:00,2,4,Standard Class,Shipping canceled,0
75885,2018-01-18 17:32:00,6,2,Second Class,Late delivery,1
75884,2018-01-17 17:11:00,5,4,Standard Class,Late delivery,1
75883,2018-01-14 16:50:00,2,1,First Class,Late delivery,1
75882,2018-01-15 16:29:00,3,4,Standard Class,Advance shipping,0
75881,2018-01-14 16:08:00,2,4,Standard Class,Advance shipping,0
75880,2018-01-18 15:47:00,6,4,Standard Class,Late delivery,1
75879,2018-01-17 15:26:00,5,4,Standard Class,Late delivery,1
75878,2018-01-16 15:05:00,4,4,Standard Class,Shipping on time,0
75877,2018-01-15 14:44:00,3,4,Standard Class,Advance shipping,0
75876,2018-01-14 14:23:00,2,4,Standard Class,Advance shipping,0
75875,2018-01-18 14:02:00,6,2,Second Class,Late delivery,1
75874,2018-01-17 13:41:00,5,4,Standard Class,Late delivery,1
75873,2018-01-16 13:20:00,4,4,Standard Class,Shipping on time,0
75872,2018-01-15 12:59:00,3,4,Standard Class,Advance shipping,0
75871,2018-01-14 12:38:00,2,1,First Class,Late delivery,1
75870,2018-01-14 12:17:00,2,1,First Class,Late delivery,1
75869,2018-01-14 11:56:00,2,1,First Class,Late delivery,1
75868,2018-01-14 11:35:00,2,1,First Class,Late delivery,1
75867,2018-01-12 23:14:00,0,0,Same Day,Shipping on time,0
75866,2018-01-12 22:53:00,0,0,Same Day,Shipping on time,0
75865,2018-01-12 22:32:00,0,0,Same Day,Shipping on time,0
75864,2018-01-17 10:11:00,5,4,Standard Class,Late delivery,1
75863,2018-01-16 09:50:00,4,4,Standard Class,Shipping on time,0
75862,2018-01-15 09:29:00,3,4,Standard Class,Advance shipping,0
75861,2018-01-14 09:08:00,2,4,Standard Class,Advance shipping,0
75860,2018-01-18 08:47:00,6,4,Standard Class,Late delivery,1
75859,2018-01-17 08:26:00,5,4,Standard Class,Shipping canceled,0
75858,2018-01-16 08:05:00,4,2,Second Class,Late delivery,1
75857,2018-01-15 07:44:00,3,4,Standard Class,Advance shipping,0
75856,2018-01-14 07:23:00,2,2,Second Class,Shipping on time,0
75855,2018-01-14 07:02:00,2,1,First Class,Late delivery,1
75854,2018-01-17 06:41:00,5,2,Second Class,Late delivery,1
75853,2018-01-16 06:20:00,4,2,Second Class,Late delivery,1
75852,2018-01-15 05:59:00,3,4,Standard Class,Advance shipping,0
75851,2018-01-14 05:38:00,2,4,Standard Class,Advance shipping,0
75850,2018-01-18 05:16:00,6,4,Standard Class,Late delivery,1
75849,2018-01-17 04:55:00,5,4,Standard Class,Late delivery,1
75848,2018-01-16 04:34:00,4,2,Second Class,Late delivery,1
75847,2018-01-15 04:13:00,3,2,Second Class,Shipping canceled,0
75846,2018-01-14 03:52:00,2,4,Standard Class,Advance shipping,0
75845,2018-01-18 03:31:00,6,4,Standard Class,Late delivery,1
75844,2018-01-17 03:10:00,5,4,Standard Class,Late delivery,1
75843,2018-01-16 02:49:00,4,2,Second Class,Late delivery,1
75842,2018-01-15 02:28:00,3,4,Standard Class,Advance shipping,0
75841,2018-01-14 02:07:00,2,4,Standard Class,Advance shipping,0
75840,2018-01-18 01:46:00,6,2,Second Class,Late delivery,1
75839,2018-01-17 01:25:00,5,2,Second Class,Late delivery,1
75838,2018-01-14 01:04:00,2,1,First Class,Late delivery,1
75837,2018-01-14 00:43:00,2,1,First Class,Late delivery,1
75836,2018-01-14 00:22:00,2,2,Second Class,Shipping on time,0
75835,2018-01-18 00:01:00,6,2,Second Class,Late delivery,1
75834,2018-01-16 23:40:00,5,2,Second Class,Late delivery,1
75833,2018-01-13 23:19:00,2,1,First Class,Late delivery,1
75832,2018-01-13 22:58:00,2,1,First Class,Late delivery,1
75831,2018-01-13 22:37:00,2,1,First Class,Late delivery,1
75830,2018-01-17 22:16:00,6,4,Standard Class,Late delivery,1
75829,2018-01-16 21:55:00,5,4,Standard Class,Late delivery,1
75828,2018-01-15 21:34:00,4,4,Standard Class,Shipping on time,0
